Symbol,Open,High,Low,Last Traded Price,Change,%Change,Traded Volume(lacs),Traded Value(crs),52 Week High,52 Week Low,365 Days % Change,30 Days % Change
"GODFRYPHLP","845.75","853.95","835.00","850.55","4.90","0.58","0.82","6.90","1,085.00","670.95","-19.14","13.13"
"COALINDIA","287.85","293.60","287.80","290.70","1.65","0.57","27.14","79.15","316.95","235.85","20.57","9.02"
"VOLTAS","607.45","627.80","605.00","611.95","3.45","0.57","23.72","147.04","675.30","493.05","17.23","4.57"
"HDFC","1,904.00","1,921.65","1,901.00","1,917.00","10.70","0.56","15.94","305.22","2,052.95","1,638.00","8.60","-2.96"
"ACC","1,640.00","1,657.00","1,629.20","1,644.00","8.75","0.54","5.97","98.15","1,869.95","1,255.65","-8.76","11.42"
"TORNTPHARM","1,763.55","1,794.80","1,750.00","1,777.00","9.15","0.52","4.09","72.64","1,794.80","1,147.30","47.16","21.26"
"RAYMOND","807.00","823.00","801.85","806.00","4.15","0.52","12.98","105.70","1,153.00","730.05","9.36","-3.65"
"M&M","966.20","972.40","961.15","968.00","4.90","0.51","16.35","158.32","982.25","612.00","-29.56","5.17"
"KOTAKBANK","1,248.90","1,263.95","1,242.35","1,253.85","6.15","0.49","22.14","277.94","1,417.00","962.00","27.93","-4.45"
"DISHTV","71.75","73.35","69.95","72.15","0.35","0.49","48.03","34.55","86.90","63.70","-10.15","0.42"
"WIPRO","288.70","294.85","286.90","291.10","1.35","0.47","42.25","123.47","334.00","253.50","0.38","6.65"
"LUPIN","904.80","914.70","885.50","907.40","4.10","0.45","34.53","311.49","1,090.00","723.65","-5.07","10.53"
"PETRONET","232.40","233.50","229.00","231.40","0.95","0.41","24.77","57.42","275.65","202.05","0.19","7.23"
"INFRATEL","283.40","291.40","278.85","285.00","1.10","0.39","34.57","98.84","482.80","274.55","-25.55","-0.30"
